CustomerID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMCell,RFMScore,Segment
12424,163,2,1760.96,2,2,4,"2,2,4",2.6666666666666665,At Risk
12425,79,1,777.1999999999999,2,1,3,"2,1,3",2.0,About to Sleep
12426,195,1,582.73,1,1,3,"1,1,3",1.6666666666666667,Cannot Lose Them
12427,22,3,825.8000000000001,4,3,3,"4,3,3",3.333333333333333,Potential Loyalists
12428,26,9,7956.460000000001,4,5,5,"4,5,5",4.666666666666667,Champions
12429,10,4,3750.4,5,4,5,"5,4,5",4.666666666666667,Champions
12430,44,1,256.4,3,1,2,"3,1,2",2.0,About to Sleep
12431,36,15,6487.45,3,5,5,"3,5,5",4.333333333333333,Loyal
12432,43,5,5059.32,3,4,5,"3,4,5",4.0,Loyal
12433,1,7,13375.87,5,5,5,"5,5,5",5.0,Champions
12434,85,2,806.14,2,2,3,"2,2,3",2.333333333333333,Hibernating
12435,80,2,7829.890000000001,2,2,5,"2,2,5",3.0,At Risk
12436,100,1,509.0100000000001,2,1,3,"2,1,3",2.0,About to Sleep
12437,2,18,4951.41,5,5,5,"5,5,5",5.0,Champions
12438,15,2,2906.85,4,2,5,"4,2,5",3.6666666666666665,Promising
12441,367,1,173.55,1,1,1,"1,1,1",1.0,Lost
12442,4,1,172.06,5,1,1,"5,1,1",2.333333333333333,New Customers
12444,22,5,5005.46,4,4,5,"4,4,5",4.333333333333333,Champions
12445,23,1,133.4,4,1,1,"4,1,1",2.0,New Customers
12446,58,1,1002.31,3,1,4,"3,1,4",2.6666666666666665,Promising
12447,244,1,476.49,1,1,2,"1,1,2",1.3333333333333333,Lost
12448,45,1,449.4500000000001,3,1,2,"3,1,2",2.0,About to Sleep
12449,23,4,4067.29,4,4,5,"4,4,5",4.333333333333333,Champions
12450,157,2,197.88,2,2,1,"2,2,1",1.6666666666666667,About to Sleep
12451,11,5,9035.52,5,4,5,"5,4,5",4.666666666666667,Champions
12452,17,2,430.57,4,2,2,"4,2,2",2.6666666666666665,New Customers
12453,135,1,707.0899999999999,2,1,3,"2,1,3",2.0,About to Sleep
12454,57,1,3528.34,3,1,5,"3,1,5",3.0,Promising
12455,74,6,2466.86,2,4,5,"2,4,5",3.6666666666666665,At Risk
12456,45,3,3181.04,3,3,5,"3,3,5",3.6666666666666665,Loyal
12457,67,7,2363.23,3,5,5,"3,5,5",4.333333333333333,Loyal
12458,72,2,947.4,3,2,4,"3,2,4",3.0,Need Attention
12461,95,2,826.88,2,2,3,"2,2,3",2.333333333333333,Hibernating
12462,19,2,1189.59,4,2,4,"4,2,4",3.333333333333333,Promising
12463,54,4,1344.78,3,4,4,"3,4,4",3.6666666666666665,Loyal
12464,11,8,1212.05,5,5,4,"5,5,4",4.666666666666667,Champions
12465,18,2,742.19,4,2,3,"4,2,3",3.0,Potential Loyalists
12468,188,2,729.54,1,2,3,"1,2,3",2.0,Hibernating
12471,3,30,19824.05,5,5,5,"5,5,5",5.0,Champions
12472,33,7,6572.11,4,5,5,"4,5,5",4.666666666666667,Champions
12473,30,5,3938.55,4,4,5,"4,4,5",4.333333333333333,Champions
12474,18,18,7375.79,4,5,5,"4,5,5",4.666666666666667,Champions
12475,54,1,723.3799999999999,3,1,3,"3,1,3",2.333333333333333,Promising
12476,16,11,6816.42,4,5,5,"4,5,5",4.666666666666667,Champions
12477,23,6,13219.740000000002,4,4,5,"4,4,5",4.333333333333333,Champions
12478,4,1,680.9900000000001,5,1,3,"5,1,3",3.0,Promising
12479,12,1,527.2,5,1,3,"5,1,3",3.0,Promising
12480,29,4,3281.63,4,4,5,"4,4,5",4.333333333333333,Champions
12481,23,10,5596.32,4,5,5,"4,5,5",4.666666666666667,Champions
12483,18,8,2484.98,4,5,5,"4,5,5",4.666666666666667,Champions
12484,33,6,4541.719999999999,4,4,5,"4,4,5",4.333333333333333,Champions
12488,10,3,1298.66,5,3,4,"5,3,4",4.0,Need Attention
12489,337,1,334.92999999999995,1,1,2,"1,1,2",1.3333333333333333,Lost
12490,6,10,5417.93,5,5,5,"5,5,5",5.0,Champions
12491,39,1,460.4,3,1,2,"3,1,2",2.0,About to Sleep
12492,64,2,263.21,3,2,2,"3,2,2",2.333333333333333,Hibernating
12493,166,2,433.74,2,2,2,"2,2,2",2.0,Hibernating
12494,16,7,1246.1,4,5,4,"4,5,4",4.333333333333333,Champions
12497,82,1,1043.1,2,1,4,"2,1,4",2.333333333333333,Cannot Lose Them
12498,22,3,403.7,4,3,2,"4,3,2",3.0,Potential Loyalists
12500,24,11,4257.82,4,5,5,"4,5,5",4.666666666666667,Champions
12501,337,1,2169.3900000000003,1,1,5,"1,1,5",2.333333333333333,Cannot Lose Them
12502,96,5,3723.87,2,4,5,"2,4,5",3.6666666666666665,At Risk
12504,19,2,482.05,4,2,2,"4,2,2",2.6666666666666665,New Customers
12506,233,1,73.50000000000001,1,1,1,"1,1,1",1.0,Lost
12507,135,3,1304.81,2,3,4,"2,3,4",3.0,At Risk
12508,27,2,398.27,4,2,2,"4,2,2",2.6666666666666665,New Customers
12509,285,1,176.5,1,1,1,"1,1,1",1.0,Lost
12510,143,2,982.57,2,2,4,"2,2,4",2.6666666666666665,At Risk
12512,67,2,138.03,3,2,1,"3,2,1",2.0,About to Sleep
12513,113,1,612.2900000000001,2,1,3,"2,1,3",2.0,About to Sleep
12514,268,1,1017.68,1,1,4,"1,1,4",2.0,Cannot Lose Them
12515,354,1,383.7000000000001,1,1,2,"1,1,2",1.3333333333333333,Lost
12516,78,2,1312.06,2,2,4,"2,2,4",2.6666666666666665,At Risk
12517,29,5,2502.84,4,4,5,"4,4,5",4.333333333333333,Champions
12518,1,5,2056.8900000000003,5,4,4,"5,4,4",4.333333333333333,Champions
12519,64,1,340.84000000000003,3,1,2,"3,1,2",2.0,About to Sleep
12520,80,5,2634.26,2,4,5,"2,4,5",3.6666666666666665,At Risk
12521,143,1,599.68,2,1,3,"2,1,3",2.0,About to Sleep
12522,40,2,192.72,3,2,1,"3,2,1",2.0,About to Sleep
12523,20,11,1789.77,4,5,4,"4,5,4",4.333333333333333,Champions
12524,10,8,4485.719999999999,5,5,5,"5,5,5",5.0,Champions
12526,1,3,1316.66,5,3,4,"5,3,4",4.0,Need Attention
12527,82,3,348.71000000000004,2,3,2,"2,3,2",2.333333333333333,Hibernating
12528,10,6,1933.48,5,4,4,"5,4,4",4.333333333333333,Champions
12530,60,4,1662.28,3,4,4,"3,4,4",3.6666666666666665,Loyal
12531,15,1,125.22,4,1,1,"4,1,1",2.0,New Customers
12532,31,1,349.83000000000004,4,1,2,"4,1,2",2.333333333333333,New Customers
12534,131,1,1089.18,2,1,4,"2,1,4",2.333333333333333,Cannot Lose Them
12535,92,2,716.3499999999999,2,2,3,"2,2,3",2.333333333333333,Hibernating
12536,44,3,12601.830000000002,3,3,5,"3,3,5",3.6666666666666665,Loyal
12538,30,1,363.95,4,1,2,"4,1,2",2.333333333333333,New Customers
12539,23,4,5568.349999999999,4,4,5,"4,4,5",4.333333333333333,Champions
12540,20,17,13400.24,4,5,5,"4,5,5",4.666666666666667,Champions
12541,30,3,981.18,4,3,4,"4,3,4",3.6666666666666665,Need Attention
12544,37,1,372.7000000000001,3,1,2,"3,1,2",2.0,About to Sleep
12545,76,2,1000.39,2,2,4,"2,2,4",2.6666666666666665,At Risk
12546,47,2,1161.5000000000002,3,2,4,"3,2,4",3.0,Need Attention
12547,198,2,207.8,1,2,1,"1,2,1",1.3333333333333333,Lost
12548,167,1,95.2,2,1,1,"2,1,1",1.3333333333333333,Hibernating
12550,80,1,964.83,2,1,4,"2,1,4",2.333333333333333,Cannot Lose Them
12551,358,1,168.0,1,1,1,"1,1,1",1.0,Lost
12552,39,2,437.82,3,2,2,"3,2,2",2.333333333333333,Hibernating
12553,9,10,3692.28,5,5,5,"5,5,5",5.0,Champions
12556,51,2,603.7099999999999,3,2,3,"3,2,3",2.6666666666666665,Potential Loyalists
12557,17,5,11990.96,4,4,5,"4,4,5",4.333333333333333,Champions
12558,8,1,269.96000000000004,5,1,2,"5,1,2",2.6666666666666665,New Customers
12559,311,2,561.71,1,2,3,"1,2,3",2.0,Hibernating
12560,6,3,2134.01,5,3,5,"5,3,5",4.333333333333333,Need Attention
12561,303,1,238.85,1,1,1,"1,1,1",1.0,Lost
12562,9,7,3781.74,5,5,5,"5,5,5",5.0,Champions
12564,262,1,456.9,1,1,2,"1,1,2",1.3333333333333333,Lost
12565,289,1,145.92000000000002,1,1,1,"1,1,1",1.0,Lost
12566,87,1,351.65,2,1,2,"2,1,2",1.6666666666666667,Hibernating
12567,23,10,9401.28,4,5,5,"4,5,5",4.666666666666667,Champions
12569,3,32,4124.6900000000005,5,5,5,"5,5,5",5.0,Champions
12571,40,2,519.61,3,2,3,"3,2,3",2.6666666666666665,Potential Loyalists
12572,9,2,1020.42,5,2,4,"5,2,4",3.6666666666666665,Promising
12573,228,1,160.54,1,1,1,"1,1,1",1.0,Lost
12574,316,1,218.45,1,1,1,"1,1,1",1.0,Lost
12576,36,5,1315.83,3,4,4,"3,4,4",3.6666666666666665,Loyal
12577,36,3,657.8,3,3,3,"3,3,3",3.0,Potential Loyalists
12578,22,2,2794.51,4,2,5,"4,2,5",3.6666666666666665,Promising
12579,79,1,440.42,2,1,2,"2,1,2",1.6666666666666667,Hibernating
12580,247,1,415.7000000000001,1,1,2,"1,1,2",1.3333333333333333,Lost
12581,40,1,197.71,3,1,1,"3,1,1",1.6666666666666667,New Customers
12582,239,2,511.36,1,2,3,"1,2,3",2.0,Hibernating
12583,3,15,7281.38,5,5,5,"5,5,5",5.0,Champions
12584,4,9,2338.15,5,5,5,"5,5,5",5.0,Champions
12585,235,2,2040.1,1,2,4,"1,2,4",2.333333333333333,At Risk
12586,18,1,196.94000000000003,4,1,1,"4,1,1",2.0,New Customers
12587,8,1,144.0,5,1,1,"5,1,1",2.333333333333333,New Customers
12588,40,1,214.9,3,1,1,"3,1,1",1.6666666666666667,New Customers
12589,29,2,646.68,4,2,3,"4,2,3",3.0,Potential Loyalists
12590,212,2,9864.26,1,2,5,"1,2,5",2.6666666666666665,At Risk
12591,318,1,452.85,1,1,2,"1,1,2",1.3333333333333333,Lost
12592,93,2,437.6,2,2,2,"2,2,2",2.0,Hibernating
12593,109,3,418.1,2,3,2,"2,3,2",2.333333333333333,Hibernating
12594,38,10,3338.2200000000003,3,5,5,"3,5,5",4.333333333333333,Loyal
12596,52,2,618.27,3,2,3,"3,2,3",2.6666666666666665,Potential Loyalists
12597,20,4,3811.22,4,4,5,"4,4,5",4.333333333333333,Champions
12598,10,8,3023.08,5,5,5,"5,5,5",5.0,Champions
12599,30,7,1032.58,4,5,4,"4,5,4",4.333333333333333,Champions
12600,29,10,2599.04,4,5,5,"4,5,5",4.666666666666667,Champions
12601,190,5,577.06,1,4,3,"1,4,3",2.6666666666666665,At Risk
12602,59,1,153.12,3,1,1,"3,1,1",1.6666666666666667,New Customers
12603,22,1,739.1999999999999,4,1,3,"4,1,3",2.6666666666666665,Promising
12604,80,2,254.18,2,2,2,"2,2,2",2.0,Hibernating
12607,61,1,1579.51,3,1,4,"3,1,4",2.6666666666666665,Promising
12609,79,3,1126.85,2,3,4,"2,3,4",3.0,At Risk
12610,23,5,2099.54,4,4,5,"4,4,5",4.333333333333333,Champions
12611,53,1,1193.32,3,1,4,"3,1,4",2.6666666666666665,Promising
12612,75,1,704.04,2,1,3,"2,1,3",2.0,About to Sleep
12613,58,5,3344.38,3,4,5,"3,4,5",4.0,Loyal
12614,278,1,315.6,1,1,2,"1,1,2",1.3333333333333333,Lost
12615,3,4,2291.19,5,4,5,"5,4,5",4.666666666666667,Champions
12616,96,2,713.3,2,2,3,"2,2,3",2.333333333333333,Hibernating
12617,30,1,355.53000000000003,4,1,2,"4,1,2",2.333333333333333,New Customers
12618,22,1,177.31,4,1,1,"4,1,1",2.0,New Customers
12619,17,9,3641.24,4,5,5,"4,5,5",4.666666666666667,Champions
12620,15,3,1339.41,4,3,4,"4,3,4",3.6666666666666665,Need Attention
12621,2,20,13689.67,5,5,5,"5,5,5",5.0,Champions
12622,233,1,180.09999999999997,1,1,1,"1,1,1",1.0,Lost
12623,277,1,305.1,1,1,2,"1,1,2",1.3333333333333333,Lost
12624,107,2,641.13,2,2,3,"2,2,3",2.333333333333333,Hibernating
12625,212,2,2683.82,1,2,5,"1,2,5",2.6666666666666665,At Risk
12626,24,9,6620.4800000000005,4,5,5,"4,5,5",4.666666666666667,Champions
12627,11,7,4478.53,5,5,5,"5,5,5",5.0,Champions
12628,5,3,786.46,5,3,3,"5,3,3",3.6666666666666665,Potential Loyalists
12630,10,2,1270.88,5,2,4,"5,2,4",3.6666666666666665,Promising
12631,58,1,640.5,3,1,3,"3,1,3",2.333333333333333,Promising
12633,59,4,2163.98,3,4,5,"3,4,5",4.0,Loyal
12635,90,2,1689.18,2,2,4,"2,2,4",2.6666666666666665,At Risk
12637,68,8,6021.9,3,5,5,"3,5,5",4.333333333333333,Loyal
12638,34,1,671.69,3,1,3,"3,1,3",2.333333333333333,Promising
12639,239,1,486.1,1,1,2,"1,1,2",1.3333333333333333,Lost
12640,24,3,1174.5800000000002,4,3,4,"4,3,4",3.6666666666666665,Need Attention
12641,116,1,185.9,2,1,1,"2,1,1",1.3333333333333333,Hibernating
12642,26,3,1013.26,4,3,4,"4,3,4",3.6666666666666665,Need Attention
12643,129,6,3344.6400000000003,2,4,5,"2,4,5",3.6666666666666665,At Risk
12644,130,1,477.91,2,1,2,"2,1,2",1.6666666666666667,Hibernating
12645,34,4,1775.18,3,4,4,"3,4,4",3.6666666666666665,Loyal
12646,5,2,1346.9699999999998,5,2,4,"5,2,4",3.6666666666666665,Promising
12647,23,12,3722.82,4,5,5,"4,5,5",4.666666666666667,Champions
12648,155,1,318.04999999999995,2,1,2,"2,1,2",1.6666666666666667,Hibernating
12649,108,3,623.51,2,3,3,"2,3,3",2.6666666666666665,Hibernating
12650,4,1,314.44,5,1,2,"5,1,2",2.6666666666666665,New Customers
12651,335,1,114.0,1,1,1,"1,1,1",1.0,Lost
12652,332,1,919.98,1,1,3,"1,1,3",1.6666666666666667,Cannot Lose Them
12653,149,2,2209.85,2,2,5,"2,2,5",3.0,At Risk
12654,11,5,601.98,5,4,3,"5,4,3",4.0,Loyal
12656,18,5,4051.17,4,4,5,"4,4,5",4.333333333333333,Champions
12657,12,4,1643.18,5,4,4,"5,4,4",4.333333333333333,Champions
12658,19,1,686.05,4,1,3,"4,1,3",2.6666666666666665,Promising
12659,30,1,91.68,4,1,1,"4,1,1",2.0,New Customers
12660,12,1,245.1,5,1,1,"5,1,1",2.333333333333333,New Customers
12662,1,11,3849.78,5,5,5,"5,5,5",5.0,Champions
12664,9,9,4881.88,5,5,5,"5,5,5",5.0,Champions
12665,325,1,63.0,1,1,1,"1,1,1",1.0,Lost
12667,59,1,620.1300000000001,3,1,3,"3,1,3",2.333333333333333,Promising
12668,12,4,3807.15,5,4,5,"5,4,5",4.666666666666667,Champions
12669,151,3,2744.03,2,3,5,"2,3,5",3.333333333333333,At Risk
12670,11,5,2996.05,5,4,5,"5,4,5",4.666666666666667,Champions
12672,330,1,225.9,1,1,1,"1,1,1",1.0,Lost
12673,6,2,610.52,5,2,3,"5,2,3",3.333333333333333,Promising
12674,39,4,1970.6,3,4,4,"3,4,4",3.6666666666666665,Loyal
12676,25,6,1331.39,4,4,4,"4,4,4",4.0,Loyal
12678,43,12,17628.460000000003,3,5,5,"3,5,5",4.333333333333333,Loyal
12679,59,4,1113.02,3,4,4,"3,4,4",3.6666666666666665,Loyal
12680,1,4,862.81,5,4,3,"5,4,3",4.0,Loyal
12681,15,22,13787.54,4,5,5,"4,5,5",4.666666666666667,Champions
12682,4,31,12288.22,5,5,5,"5,5,5",5.0,Champions
12683,5,15,8476.57,5,5,5,"5,5,5",5.0,Champions
12684,8,7,2283.63,5,5,5,"5,5,5",5.0,Champions
12685,29,6,2863.08,4,4,5,"4,4,5",4.333333333333333,Champions
12686,372,1,89.14,1,1,1,"1,1,1",1.0,Lost
12688,114,1,4873.81,2,1,5,"2,1,5",2.6666666666666665,Cannot Lose Them
12689,26,2,1247.61,4,2,4,"4,2,4",3.333333333333333,Promising
12690,206,1,389.01,1,1,2,"1,1,2",1.3333333333333333,Lost
12691,29,6,1035.8,4,4,4,"4,4,4",4.0,Loyal
12693,128,4,855.91,2,4,3,"2,4,3",3.0,At Risk
12694,71,2,869.6700000000001,3,2,3,"3,2,3",2.6666666666666665,Potential Loyalists
12695,8,4,582.1,5,4,3,"5,4,3",4.0,Loyal
12697,29,3,957.59,4,3,4,"4,3,4",3.6666666666666665,Need Attention
12700,8,4,4939.99,5,4,5,"5,4,5",4.666666666666667,Champions
12701,80,2,797.71,2,2,3,"2,2,3",2.333333333333333,Hibernating
12702,20,1,219.0,4,1,1,"4,1,1",2.0,New Customers
12703,72,1,283.55,3,1,2,"3,1,2",2.0,About to Sleep
12704,8,8,2340.84,5,5,5,"5,5,5",5.0,Champions
12705,16,9,6868.29,4,5,5,"4,5,5",4.666666666666667,Champions
12707,292,1,603.42,1,1,3,"1,1,3",1.6666666666666667,Cannot Lose Them
12708,30,10,2712.91,4,5,5,"4,5,5",4.666666666666667,Champions
12709,16,15,9736.52,4,5,5,"4,5,5",4.666666666666667,Champions
12710,97,3,1149.02,2,3,4,"2,3,4",3.0,At Risk
12712,29,13,4396.13,4,5,5,"4,5,5",4.666666666666667,Champions
12713,1,1,848.5500000000001,5,1,3,"5,1,3",3.0,Promising
12714,10,5,4708.860000000001,5,4,5,"5,4,5",4.666666666666667,Champions
12715,107,1,353.86,2,1,2,"2,1,2",1.6666666666666667,Hibernating
12716,4,2,1053.4899999999998,5,2,4,"5,2,4",3.6666666666666665,Promising
12717,152,2,1030.98,2,2,4,"2,2,4",2.6666666666666665,At Risk
12718,72,1,238.25,3,1,1,"3,1,1",1.6666666666666667,New Customers
12719,6,2,644.95,5,2,3,"5,2,3",3.333333333333333,Promising
12720,3,25,5781.73,5,5,5,"5,5,5",5.0,Champions
12721,32,6,2656.13,4,4,5,"4,4,5",4.333333333333333,Champions
12722,86,4,997.63,2,4,4,"2,4,4",3.333333333333333,At Risk
12723,4,5,725.0699999999999,5,4,3,"5,4,3",4.0,Loyal
12724,6,4,1031.41,5,4,4,"5,4,4",4.333333333333333,Champions
12725,372,1,427.8,1,1,2,"1,1,2",1.3333333333333333,Lost
12726,29,7,2609.1,4,5,5,"4,5,5",4.666666666666667,Champions
12727,11,7,3980.7,5,5,5,"5,5,5",5.0,Champions
12728,72,4,836.33,3,4,3,"3,4,3",3.333333333333333,Need Attention
12729,114,1,453.0100000000001,2,1,2,"2,1,2",1.6666666666666667,Hibernating
12731,24,12,18895.91,4,5,5,"4,5,5",4.666666666666667,Champions
12732,180,1,236.26000000000005,1,1,1,"1,1,1",1.0,Lost
12733,235,1,383.9500000000001,1,1,2,"1,1,2",1.3333333333333333,Lost
12734,353,1,110.4,1,1,1,"1,1,1",1.0,Lost
12735,316,2,779.5699999999999,1,2,3,"1,2,3",2.0,Hibernating
12736,333,1,234.00000000000003,1,1,1,"1,1,1",1.0,Lost
12738,373,1,155.35,1,1,1,"1,1,1",1.0,Lost
12739,79,2,1013.04,2,2,4,"2,2,4",2.6666666666666665,At Risk
12740,64,1,427.6,3,1,2,"3,1,2",2.0,About to Sleep
12743,135,2,546.4300000000001,2,2,3,"2,2,3",2.333333333333333,Hibernating
12744,52,7,21279.29,3,5,5,"3,5,5",4.333333333333333,Loyal
12747,3,11,4196.01,5,5,5,"5,5,5",5.0,Champions
12748,1,209,33719.73,5,5,5,"5,5,5",5.0,Champions
12749,4,5,4090.880000000001,5,4,5,"5,4,5",4.666666666666667,Champions
12750,129,1,275.88,2,1,2,"2,1,2",1.6666666666666667,Hibernating
12752,82,1,4366.780000000001,2,1,5,"2,1,5",2.6666666666666665,Cannot Lose Them
12753,23,6,21429.39,4,4,5,"4,4,5",4.333333333333333,Champions
12754,236,3,3010.74,1,3,5,"1,3,5",3.0,At Risk
12755,281,2,3811.95,1,2,5,"1,2,5",2.6666666666666665,At Risk
12756,87,1,112.08,2,1,1,"2,1,1",1.3333333333333333,Hibernating
12757,16,13,7857.1,4,5,5,"4,5,5",4.666666666666667,Champions
12758,117,2,2791.59,2,2,5,"2,2,5",3.0,At Risk
12759,53,3,1531.44,3,3,4,"3,3,4",3.333333333333333,Need Attention
12762,8,2,1898.52,5,2,4,"5,2,4",3.6666666666666665,Promising
12763,139,2,494.08,2,2,3,"2,2,3",2.333333333333333,Hibernating
12764,317,1,1693.88,1,1,4,"1,1,4",2.0,Cannot Lose Them
12766,4,7,6989.63,5,5,5,"5,5,5",5.0,Champions
12769,239,1,1143.6,1,1,4,"1,1,4",2.0,Cannot Lose Them
12770,211,1,1351.4499999999998,1,1,4,"1,1,4",2.0,Cannot Lose Them
12772,60,1,892.4700000000001,3,1,3,"3,1,3",2.333333333333333,Promising
12775,18,5,1386.04,4,4,4,"4,4,4",4.0,Loyal
12778,20,6,822.23,4,4,3,"4,4,3",3.6666666666666665,Need Attention
12779,38,8,3981.36,3,5,5,"3,5,5",4.333333333333333,Loyal
12781,64,2,826.74,3,2,3,"3,2,3",2.6666666666666665,Potential Loyalists
12782,5,5,2330.92,5,4,5,"5,4,5",4.666666666666667,Champions
12783,3,6,2225.91,5,4,5,"5,4,5",4.666666666666667,Champions
12784,10,2,574.4200000000001,5,2,3,"5,2,3",3.333333333333333,Promising
12785,365,1,311.95,1,1,2,"1,1,2",1.3333333333333333,Lost
12787,10,3,463.66,5,3,2,"5,3,2",3.333333333333333,Potential Loyalists
12789,66,1,91.85,3,1,1,"3,1,1",1.6666666666666667,New Customers
12790,193,1,324.9200000000001,1,1,2,"1,1,2",1.3333333333333333,Lost
12791,374,1,192.6,1,1,1,"1,1,1",1.0,Lost
12792,257,1,400.54,1,1,2,"1,1,2",1.3333333333333333,Lost
12793,335,2,545.48,1,2,3,"1,2,3",2.0,Hibernating
12794,54,2,860.4099999999999,3,2,3,"3,2,3",2.6666666666666665,Potential Loyalists
12795,19,1,430.48,4,1,2,"4,1,2",2.333333333333333,New Customers
12797,366,1,254.03,1,1,2,"1,1,2",1.3333333333333333,Lost
12798,11,3,6977.039999999999,5,3,5,"5,3,5",4.333333333333333,Need Attention
12802,187,1,427.58,1,1,2,"1,1,2",1.3333333333333333,Lost
12808,37,3,483.65,3,3,2,"3,3,2",2.6666666666666665,Hibernating
12809,178,1,489.31,1,1,2,"1,1,2",1.3333333333333333,Lost
12811,261,3,514.85,1,3,3,"1,3,3",2.333333333333333,At Risk
12812,45,1,229.64,3,1,1,"3,1,1",1.6666666666666667,New Customers
12814,102,1,125.92,2,1,1,"2,1,1",1.3333333333333333,Hibernating
12815,148,2,1063.46,2,2,4,"2,2,4",2.6666666666666665,At Risk
12816,96,2,572.2,2,2,3,"2,2,3",2.333333333333333,Hibernating
12817,282,1,166.04,1,1,1,"1,1,1",1.0,Lost
